time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-16 00:00:00+00:00,0,0,13,2
2026-02-17 00:00:00+00:00,0,0,1,1
2026-02-18 00:00:00+00:00,0,0,0,0
2026-02-19 00:00:00+00:00,0,0,1,1
2026-02-20 00:00:00+00:00,0,0,3,2
2026-02-21 00:00:00+00:00,2,2,1,1
2026-02-22 00:00:00+00:00,3,3,0,0
2026-02-23 00:00:00+00:00,0,0,0,0
2026-02-24 00:00:00+00:00,0,0,12,1
2026-02-25 00:00:00+00:00,0,0,0,0
2026-02-26 00:00:00+00:00,2,2,1,1
2026-02-27 00:00:00+00:00,0,0,0,0
2026-02-28 00:00:00+00:00,0,0,0,0
2026-03-01 00:00:00+00:00,0,0,0,0
2026-03-02 00:00:00+00:00,0,0,21,2
2026-03-03 00:00:00+00:00,0,0,0,0
2026-03-04 00:00:00+00:00,1,1,1,1
2026-03-05 00:00:00+00:00,2,2,3,2
2026-03-06 00:00:00+00:00,0,0,23,3
2026-03-07 00:00:00+00:00,0,0,0,0
2026-03-08 00:00:00+00:00,0,0,1,1
2026-03-09 00:00:00+00:00,25,16,41,3
2026-03-10 00:00:00+00:00,4,2,3,2
2026-03-11 00:00:00+00:00,2,2,7,1
2026-03-12 00:00:00+00:00,6,5,25,3
2026-03-13 00:00:00+00:00,2,2,7,2
2026-03-14 00:00:00+00:00,1,1,1,1
2026-03-15 00:00:00+00:00,1,1,1,1
2026-03-16 00:00:00+00:00,1,1,0,0
2026-03-17 00:00:00+00:00,0,0,3,2
2026-03-18 00:00:00+00:00,1,1,0,0
2026-03-19 00:00:00+00:00,0,0,1,1
2026-03-20 00:00:00+00:00,0,0,2,2
2026-03-21 00:00:00+00:00,1,1,0,0
2026-03-22 00:00:00+00:00,1,1,0,0
2026-03-23 00:00:00+00:00,15,8,47,2
2026-03-24 00:00:00+00:00,3,3,0,0
2026-03-25 00:00:00+00:00,2,2,1,1
2026-03-26 00:00:00+00:00,0,0,4,2
2026-03-27 00:00:00+00:00,1,1,0,0
2026-03-28 00:00:00+00:00,0,0,0,0
2026-03-29 00:00:00+00:00,2,2,1,1
2026-03-30 00:00:00+00:00,3,2,2,2
2026-03-31 00:00:00+00:00,2,1,13,3
2026-04-01 00:00:00+00:00,1,1,4,1
2026-04-02 00:00:00+00:00,3,3,7,2
2026-04-03 00:00:00+00:00,2,2,2,1
2026-04-04 00:00:00+00:00,1,1,0,0
2026-04-05 00:00:00+00:00,1,1,0,0
2026-04-06 00:00:00+00:00,1,1,0,0
2026-04-07 00:00:00+00:00,4,3,8,2
2026-04-08 00:00:00+00:00,1,1,0,0
2026-04-09 00:00:00+00:00,2,2,3,1
2026-04-10 00:00:00+00:00,3,3,6,2
2026-04-11 00:00:00+00:00,2,2,3,3
2026-04-12 00:00:00+00:00,1,1,0,0
2026-04-13 00:00:00+00:00,1,1,1,1
2026-04-14 00:00:00+00:00,1,1,3,3
2026-04-15 00:00:00+00:00,2,2,0,0
2026-04-16 00:00:00+00:00,0,0,0,0
2026-04-17 00:00:00+00:00,1,1,12,3
2026-04-18 00:00:00+00:00,0,0,0,0
2026-04-19 00:00:00+00:00,2,2,2,1
2026-04-20 00:00:00+00:00,13,12,0,0
2026-04-21 00:00:00+00:00,4,4,0,0
2026-04-22 00:00:00+00:00,0,0,0,0
2026-04-23 00:00:00+00:00,10,7,12,2
2026-04-24 00:00:00+00:00,2,2,2,1
2026-04-25 00:00:00+00:00,2,2,0,0
2026-04-26 00:00:00+00:00,0,0,0,0
2026-04-27 00:00:00+00:00,2,2,22,2
2026-04-28 00:00:00+00:00,4,4,10,4
2026-04-29 00:00:00+00:00,1,1,23,2
2026-04-30 00:00:00+00:00,2,2,14,4
2026-05-01 00:00:00+00:00,6,6,3,1
2026-05-02 00:00:00+00:00,0,0,0,0
2026-05-03 00:00:00+00:00,0,0,0,0
2026-05-04 00:00:00+00:00,22,10,53,3
2026-05-05 00:00:00+00:00,5,4,4,2
2026-05-06 00:00:00+00:00,1,1,0,0
2026-05-07 00:00:00+00:00,0,0,4,4
2026-05-08 00:00:00+00:00,8,3,22,2
2026-05-09 00:00:00+00:00,0,0,0,0
2026-05-10 00:00:00+00:00,1,1,1,1
2026-05-11 00:00:00+00:00,0,0,4,2
2026-05-12 00:00:00+00:00,1,1,2,2
2026-05-13 00:00:00+00:00,0,0,1,1
2026-05-14 00:00:00+00:00,2,2,0,0
2026-05-15 00:00:00+00:00,3,3,14,2
2026-05-16 00:00:00+00:00,0,0,0,0
2026-05-17 00:00:00+00:00,0,0,1,1
2026-05-18 00:00:00+00:00,0,0,0,0
2026-05-19 00:00:00+00:00,1,1,1,1
2026-05-20 00:00:00+00:00,4,2,1,1
2026-05-21 00:00:00+00:00,0,0,3,1
2026-05-22 00:00:00+00:00,2,2,7,1
2026-05-23 00:00:00+00:00,0,0,0,0
2026-05-24 00:00:00+00:00,0,0,0,0
2026-05-25 00:00:00+00:00,27,6,24,4
2026-05-26 00:00:00+00:00,3,3,5,4
2026-05-27 00:00:00+00:00,3,3,1,1
2026-05-28 00:00:00+00:00,2,2,7,2
2026-05-29 00:00:00+00:00,1,1,7,3
2026-05-30 00:00:00+00:00,3,3,5,1
2026-05-31 00:00:00+00:00,0,0,0,0
2026-06-01 00:00:00+00:00,1,1,3,1
2026-06-02 00:00:00+00:00,1,1,3,1
2026-06-03 00:00:00+00:00,1,1,4,2
2026-06-04 00:00:00+00:00,0,0,7,2
2026-06-05 00:00:00+00:00,2,2,8,2
2026-06-06 00:00:00+00:00,0,0,0,0
2026-06-07 00:00:00+00:00,1,1,12,3
2026-06-08 00:00:00+00:00,0,0,0,0
2026-06-09 00:00:00+00:00,0,0,1,1
2026-06-10 00:00:00+00:00,2,2,1,1
2026-06-11 00:00:00+00:00,0,0,2,1
2026-06-12 00:00:00+00:00,1,1,0,0
2026-06-13 00:00:00+00:00,0,0,0,0
2026-06-14 00:00:00+00:00,0,0,0,0
2026-06-15 00:00:00+00:00,1,1,13,3
2026-06-16 00:00:00+00:00,0,0,0,0
2026-06-17 00:00:00+00:00,3,3,2,1
2026-06-18 00:00:00+00:00,2,2,8,3
2026-06-19 00:00:00+00:00,2,2,1,1
2026-06-20 00:00:00+00:00,1,1,0,0
2026-06-21 00:00:00+00:00,1,1,0,0
2026-06-22 00:00:00+00:00,0,0,1,1
2026-06-23 00:00:00+00:00,2,2,4,1
2026-06-24 00:00:00+00:00,0,0,1,1
2026-06-25 00:00:00+00:00,21,7,12,3
2026-06-26 00:00:00+00:00,2,2,4,1
2026-06-27 00:00:00+00:00,0,0,0,0
2026-06-28 00:00:00+00:00,1,1,0,0
2026-06-29 00:00:00+00:00,1,1,17,3
2026-06-30 00:00:00+00:00,1,1,1,1
2026-07-01 00:00:00+00:00,1,1,4,4
2026-07-02 00:00:00+00:00,0,0,20,2
2026-07-03 00:00:00+00:00,1,1,8,1
2026-07-04 00:00:00+00:00,1,1,0,0
2026-07-05 00:00:00+00:00,1,1,0,0
2026-07-06 00:00:00+00:00,1,1,1,1
2026-07-07 00:00:00+00:00,1,1,1,1
2026-07-08 00:00:00+00:00,1,1,1,1
2026-07-09 00:00:00+00:00,0,0,0,0
2026-07-10 00:00:00+00:00,1,1,1,1
2026-07-11 00:00:00+00:00,0,0,0,0
2026-07-12 00:00:00+00:00,0,0,0,0
2026-07-13 00:00:00+00:00,2,2,1,1
2026-07-14 00:00:00+00:00,1,1,15,1
2026-07-15 00:00:00+00:00,0,0,0,0
2026-07-16 00:00:00+00:00,0,0,2,1
2026-07-17 00:00:00+00:00,0,0,11,4
2026-07-18 00:00:00+00:00,0,0,0,0
2026-07-19 00:00:00+00:00,0,0,0,0
2026-07-20 00:00:00+00:00,0,0,13,3
2026-07-21 00:00:00+00:00,2,2,21,3
2026-07-22 00:00:00+00:00,0,0,4,3
2026-07-23 00:00:00+00:00,4,4,8,2
2026-07-24 00:00:00+00:00,1,1,47,2
2026-07-25 00:00:00+00:00,0,0,0,0
2026-07-26 00:00:00+00:00,2,2,9,1
2026-07-27 00:00:00+00:00,2,1,19,2
2026-07-28 00:00:00+00:00,1,1,2,1
2026-07-29 00:00:00+00:00,20,6,57,7
2026-07-30 00:00:00+00:00,6,4,36,8
2026-07-31 00:00:00+00:00,55,3,12,4
2026-08-01 00:00:00+00:00,0,0,0,0
2026-08-02 00:00:00+00:00,0,0,0,0
2026-08-03 00:00:00+00:00,1,1,6,3
2026-08-04 00:00:00+00:00,4,2,12,3
2026-08-05 00:00:00+00:00,1,1,56,2
2026-08-06 00:00:00+00:00,0,0,4,4
